wavelength_nm,relative_sensitivity
400.0,0.40
425.0,0.5407
430.0,0.5528
435.0,0.5854
440.0,0.6098
445.0,0.6260
450.0,0.6463
455.0,0.6667
460.0,0.6829
465.0,0.6992
470.0,0.7154
475.0,0.7358
480.0,0.7561
485.0,0.7724
490.0,0.7886
495.0,0.8008
500.0,0.8130
505.0,0.8252
510.0,0.8415
515.0,0.8537
520.0,0.8577
525.0,0.8699
530.0,0.8780
535.0,0.8780
540.0,0.8862
545.0,0.8984
550.0,0.8984
555.0,0.9106
560.0,0.9228
565.0,0.9309
570.0,0.9390
575.0,0.9390
580.0,0.9553
585.0,0.9593
590.0,0.9715
595.0,0.9756
600.0,0.9837
605.0,0.9919
615.0,1.0000
740.0,1.0000
745.0,0.9959
750.0,0.9878
755.0,0.9837
760.0,0.9756
765.0,0.9675
770.0,0.9593
780.0,0.9390
785.0,0.9268
790.0,0.9228
795.0,0.9106
800.0,0.9024
805.0,0.8984
810.0,0.8862
815.0,0.8780
820.0,0.8699
825.0,0.8577
830.0,0.8415
835.0,0.8333
855.0,0.7764
860.0,0.7683
870.0,0.7561
880.0,0.7317
885.0,0.7154
890.0,0.6992
895.0,0.6870
900.0,0.6707
905.0,0.6545
910.0,0.6382
915.0,0.6220
925.0,0.5935
930.0,0.5813
935.0,0.5650
940.0,0.5569
945.0,0.5325
950.0,0.5285
955.0,0.5122
960.0,0.5000
965.0,0.4837
970.0,0.4715
975.0,0.4593
980.0,0.4553
985.0,0.4472
990.0,0.4309
995.0,0.4268
1000.0,0.4024
