# wavelength_nm,relative_sensitivity (0-1, normalized)
# Source: Omnivision OV5647 (R+G+B)/3 monochrome proxy, 400-700nm; NIR extension for OV9281
380,0.301665
381,0.316749
382,0.331832
383,0.346915
384,0.361998
385,0.377082
386,0.392165
387,0.407248
388,0.422331
389,0.437415
390,0.452498
391,0.467581
392,0.482664
393,0.497748
394,0.512831
395,0.527914
396,0.542997
397,0.558081
398,0.573164
399,0.588247
400,0.60333
401,0.60333
402,0.606935
403,0.607747
404,0.613299
405,0.625045
406,0.63567
407,0.641341
408,0.642921
409,0.644982
410,0.647616
411,0.650184
412,0.652235
413,0.653227
414,0.653593
415,0.653968
416,0.654791
417,0.655591
418,0.656737
419,0.658721
420,0.661923
421,0.666083
422,0.670848
423,0.676019
424,0.681713
425,0.687558
426,0.692836
427,0.697802
428,0.703814
429,0.712266
430,0.722807
431,0.732104
432,0.740781
433,0.75034
434,0.760505
435,0.770615
436,0.780481
437,0.789457
438,0.797572
439,0.804659
440,0.810391
441,0.814618
442,0.81773
443,0.820183
444,0.821969
445,0.822964
446,0.823631
447,0.824505
448,0.825611
449,0.826805
450,0.828079
451,0.829438
452,0.830828
453,0.832176
454,0.833572
455,0.835135
456,0.836879
457,0.838693
458,0.84079
459,0.8434
460,0.846645
461,0.850399
462,0.854549
463,0.858965
464,0.863853
465,0.869157
466,0.874721
467,0.880387
468,0.886219
469,0.892398
470,0.899077
471,0.90652
472,0.914637
473,0.922983
474,0.931154
475,0.939662
476,0.947377
477,0.953461
478,0.957375
479,0.958939
480,0.956766
481,0.950305
482,0.940575
483,0.92874
484,0.913091
485,0.894346
486,0.874988
487,0.860973
488,0.849582
489,0.83662
490,0.823549
491,0.813946
492,0.807255
493,0.798035
494,0.791938
495,0.788165
496,0.78365
497,0.778613
498,0.774388
499,0.769776
500,0.763553
501,0.756263
502,0.749806
503,0.745132
504,0.740425
505,0.733856
506,0.727921
507,0.724728
508,0.719009
509,0.714655
510,0.722967
511,0.741096
512,0.776856
513,0.781933
514,0.779178
515,0.802176
516,0.837083
517,0.871756
518,0.891324
519,0.900198
520,0.915134
521,0.934916
522,0.947934
523,0.956615
524,0.961305
525,0.967029
526,0.972035
527,0.976744
528,0.981009
529,0.984635
530,0.987671
531,0.989633
532,0.99128
533,0.993639
534,0.996469
535,0.998715
536,0.999683
537,1.0
538,0.999373
539,0.997385
540,0.993639
541,0.988079
542,0.981349
543,0.974171
544,0.966831
545,0.959019
546,0.950627
547,0.941553
548,0.93198
549,0.921797
550,0.910666
551,0.898576
552,0.885501
553,0.871023
554,0.855474
555,0.838734
556,0.823028
557,0.807966
558,0.793687
559,0.780292
560,0.7687
561,0.759994
562,0.752453
563,0.743683
564,0.73207
565,0.720048
566,0.710916
567,0.704157
568,0.698212
569,0.692316
570,0.687095
571,0.682752
572,0.679338
573,0.676673
574,0.674265
575,0.67226
576,0.67115
577,0.669844
578,0.670727
579,0.673882
580,0.682063
581,0.699167
582,0.726714
583,0.758846
584,0.790243
585,0.831889
586,0.860691
587,0.897278
588,0.921876
589,0.952908
590,0.968052
591,0.976289
592,0.982236
593,0.984832
594,0.98525
595,0.984082
596,0.980703
597,0.975622
598,0.972142
599,0.968959
600,0.963423
601,0.954692
602,0.944214
603,0.932476
604,0.920402
605,0.908435
606,0.895956
607,0.883214
608,0.870568
609,0.85838
610,0.846689
611,0.835374
612,0.824384
613,0.813701
614,0.803347
615,0.793285
616,0.783423
617,0.773699
618,0.764232
619,0.75532
620,0.747236
621,0.740031
622,0.733459
623,0.727226
624,0.721255
625,0.715887
626,0.710681
627,0.705004
628,0.69854
629,0.691673
630,0.684173
631,0.675652
632,0.66574
633,0.655307
634,0.644603
635,0.633822
636,0.62295
637,0.613664
638,0.60612
639,0.600448
640,0.597586
641,0.59789
642,0.600562
643,0.604714
644,0.610015
645,0.617387
646,0.624885
647,0.630272
648,0.633569
649,0.63532
650,0.634888
651,0.631498
652,0.624656
653,0.615529
654,0.605593
655,0.594684
656,0.58322
657,0.572554
658,0.565519
659,0.560747
660,0.558408
661,0.558811
662,0.562777
663,0.569479
664,0.577183
665,0.584372
666,0.592208
667,0.600093
668,0.606376
669,0.60962
670,0.610193
671,0.608567
672,0.605046
673,0.598704
674,0.590584
675,0.582318
676,0.574242
677,0.566931
678,0.560211
679,0.555465
680,0.553365
681,0.553205
682,0.554699
683,0.557534
684,0.562118
685,0.567708
686,0.573468
687,0.5794
688,0.586549
689,0.594803
690,0.60341
691,0.612317
692,0.621718
693,0.630969
694,0.639005
695,0.644488
696,0.646974
697,0.64644
698,0.642842
699,0.636214
700,0.636214
701,0.634942
702,0.633669
703,0.632397
704,0.631125
705,0.629852
706,0.62858
707,0.627307
708,0.626035
709,0.624762
710,0.62349
711,0.622218
712,0.620945
713,0.619673
714,0.6184
715,0.617128
716,0.615855
717,0.614583
718,0.613311
719,0.612038
720,0.610766
721,0.609493
722,0.608221
723,0.606948
724,0.605676
725,0.604404
726,0.603131
727,0.601859
728,0.600586
729,0.599314
730,0.598041
731,0.596769
732,0.595497
733,0.594224
734,0.592952
735,0.591679
736,0.590407
737,0.589134
738,0.587862
739,0.58659
740,0.585317
741,0.584045
742,0.582772
743,0.5815
744,0.580227
745,0.578955
746,0.577683
747,0.57641
748,0.575138
749,0.573865
750,0.572593
751,0.57132
752,0.570048
753,0.568776
754,0.567503
755,0.566231
756,0.564958
757,0.563686
758,0.562413
759,0.561141
760,0.559869
761,0.558596
762,0.557324
763,0.556051
764,0.554779
765,0.553506
766,0.552234
767,0.550962
768,0.549689
769,0.548417
770,0.547144
771,0.545872
772,0.544599
773,0.543327
774,0.542055
775,0.540782
776,0.53951
777,0.538237
778,0.536965
779,0.535692
780,0.53442
781,0.533148
782,0.531875
783,0.530603
784,0.52933
785,0.528058
786,0.526785
787,0.525513
788,0.524241
789,0.522968
790,0.521696
791,0.520423
792,0.519151
793,0.517878
794,0.516606
795,0.515334
796,0.514061
797,0.512789
798,0.511516
799,0.510244
800,0.508971
801,0.507699
802,0.506427
803,0.505154
804,0.503882
805,0.502609
806,0.501337
807,0.500064
808,0.498792
809,0.49752
810,0.496247
811,0.494975
812,0.493702
813,0.49243
814,0.491157
815,0.489885
816,0.488613
817,0.48734
818,0.486068
819,0.484795
820,0.483523
821,0.48225
822,0.480978
823,0.479706
824,0.478433
825,0.477161
826,0.475888
827,0.474616
828,0.473343
829,0.472071
830,0.470799
831,0.469526
832,0.468254
833,0.466981
834,0.465709
835,0.464436
836,0.463164
837,0.461892
838,0.460619
839,0.459347
840,0.458074
841,0.456802
842,0.455529
843,0.454257
844,0.452985
845,0.451712
846,0.45044
847,0.449167
848,0.447895
849,0.446622
850,0.44535
851,0.444078
852,0.442805
853,0.441533
854,0.44026
855,0.438988
856,0.437715
857,0.436443
858,0.435171
859,0.433898
860,0.432626
861,0.431353
862,0.430081
863,0.428808
864,0.427536
865,0.426264
866,0.424991
867,0.423719
868,0.422446
869,0.421174
870,0.419901
871,0.418629
872,0.417357
873,0.416084
874,0.414812
875,0.413539
876,0.412267
877,0.410994
878,0.409722
879,0.40845
880,0.407177
881,0.405905
882,0.404632
883,0.40336
884,0.402087
885,0.400815
886,0.399543
887,0.39827
888,0.396998
889,0.395725
890,0.394453
891,0.39318
892,0.391908
893,0.390636
894,0.389363
895,0.388091
896,0.386818
897,0.385546
898,0.384273
899,0.383001
900,0.381729
901,0.380456
902,0.379184
903,0.377911
904,0.376639
905,0.375366
906,0.374094
907,0.372822
908,0.371549
909,0.370277
910,0.369004
911,0.367732
912,0.366459
913,0.365187
914,0.363915
915,0.362642
916,0.36137
917,0.360097
918,0.358825
919,0.357552
920,0.35628
921,0.355008
922,0.353735
923,0.352463
924,0.35119
925,0.349918
926,0.348645
927,0.347373
928,0.346101
929,0.344828
930,0.343556
931,0.342283
932,0.341011
933,0.339738
934,0.338466
935,0.337194
936,0.335921
937,0.334649
938,0.333376
939,0.332104
940,0.330831
941,0.329559
942,0.328287
943,0.327014
944,0.325742
945,0.324469
946,0.323197
947,0.321924
948,0.320652
949,0.31938
950,0.318107
951,0.316835
952,0.315562
953,0.31429
954,0.313017
955,0.311745
956,0.310473
957,0.3092
958,0.307928
959,0.306655
960,0.305383
961,0.30411
962,0.302838
963,0.301566
964,0.300293
965,0.299021
966,0.297748
967,0.296476
968,0.295203
969,0.293931
970,0.292659
971,0.291386
972,0.290114
973,0.288841
974,0.287569
975,0.286296
976,0.285024
977,0.283752
978,0.282479
979,0.281207
980,0.279934
981,0.278662
982,0.277389
983,0.276117
984,0.274845
985,0.273572
986,0.2723
987,0.271027
988,0.269755
989,0.268482
990,0.26721
991,0.265938
992,0.264665
993,0.263393
994,0.26212
995,0.260848
996,0.259575
997,0.258303
998,0.257031
999,0.255758
1000,0.254486
